JobId,JobDate,VCId,SLA,JobStateId,Allocation,SubmitTime,AUid,QuotaTokens,JobPriority,YieldScopePriority_X,YieldScopePriority_Y,random
4b088867-cebf-49ae-b4fa-c093ff1792fe,2021-05-05,100,2021-05-05 01:00:00.000,2,1000,2021-05-06 04:26:58.700,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,29125,51,2,0,800536ba-b383-4703-8d3f-002e0c74f1a2
bbb67950-8f9c-4c90-a03a-911fa4d2ad9d,2021-03-06,100,NULL,2,250,2021-03-06 14:31:47.530,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,55976c28-373e-4126-b464-002e0cb07e66
247e55cf-ab4e-464e-8edd-cc47b62bc204,2021-07-06,100,2021-07-06 06:00:00.000,2,1000,2021-07-07 10:16:50.907,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,70,1,0,dbe03ba6-02eb-4134-9e25-002e0e32419a
c266baf5-d661-4555-8014-51864c3dabfb,2020-08-02,100,NULL,2,13,2020-08-02 12:35:49.540,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,55,1,0,b97b212c-58c4-4907-b14d-002e11f20e7a
fbfdaaeb-fbfb-470b-9723-25536bb00551,2018-01-22,100,NULL,2,250,2018-01-22 09:10:00.143,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,f40ba907-8405-41a8-b88e-002e1a58c630
6ed11701-5462-4ecd-afa5-2a2249559035,2021-02-05,100,NULL,2,180,2021-02-05 15:16:50.743,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,14473307-702c-48d0-9e00-002e25ea4d6a
b4a2858c-3672-4db4-a53d-8ee64a9947af,2020-05-26,100,2020-05-26 00:00:00.000,2,1000,2020-05-27 05:00:43.617,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,51,1,0,da7d24f8-0865-413c-82a1-002e2a9dac35
78a3d724-e508-4ef3-b93c-03ef1c926943,2020-03-20,100,2020-03-20 00:00:00.000,2,5000,2020-03-21 06:04:48.053,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,22,0,0,07d5edc4-73da-4a43-a44e-002e4211db30
ec1f13d8-2625-4600-a567-f2b5b24ae4f5,2020-03-31,100,NULL,2,51,2020-03-31 11:52:16.680,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,66,1,0,8f9efafb-1706-478d-b11b-002e47551773
9ce13800-d92b-4cf6-b01c-0787048821bd,2021-05-21,100,2021-05-21 01:00:00.000,2,1000,2021-05-22 08:54:56.817,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,29125,61,2,0,8a365303-d575-446f-b502-002e66fc1811
3718d12c-b0d7-4cd9-b326-6f6e619eace5,2019-04-30,100,NULL,2,250,2019-04-30 09:27:37.680,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,690a19e9-e2ea-46c9-bd3a-002e679b00cb
2de2f92b-e527-48f4-89bc-ee01cdc349a4,2019-07-13,100,2019-07-13 00:00:00.000,2,2500,2019-07-14 06:20:51.403,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,20,0,0,cb1761a2-2319-4b38-baa1-002e85cb1181
0f18ae4a-b786-4549-80bc-b855c237c959,2018-01-12,100,2018-01-11 23:57:00.000,2,50,2018-01-13 06:31:05.867,7c475ebf-3e1e-40f2-863e-3ddde132645d,3984,50,1,0,c7e4efa4-40e2-439a-8903-002e8b35c5c4
ac6a5900-bbcc-4261-98f7-8b03f3aa8db8,2019-04-18,100,NULL,2,50,2019-04-18 18:01:00.650,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,50,1,0,fe37189c-5fae-4fe9-afec-002e93ac77fa
78eacc9d-ccb1-46bc-aeea-5d630465f3c1,2021-04-24,100,2021-04-23 23:57:00.000,2,50,2021-04-24 13:42:44.167,7c475ebf-3e1e-40f2-863e-3ddde132645d,3984,21,1,0,2bbede10-ad6d-4bc8-b460-002e9758d2b5
93b14f90-802d-40b3-8dfc-7cf517c69e4b,2021-06-22,100,2021-06-22 16:40:00.000,2,50,2021-06-22 18:08:48.737,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,29125,51,2,0,27482850-0724-45f3-a568-002e995d469e
6b029db2-a17e-4f87-b76f-f99feaab35a9,2021-06-10,100,2021-06-10 00:00:00.000,2,8000,2021-06-10 18:20:52.397,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,22,0,0,b3570e0e-189d-477a-98c7-002e99d1b8b4
0c57776f-39c4-4b35-888c-81dc94c7d374,2020-07-28,100,2020-07-27 23:55:00.000,2,1500,2020-07-28 13:22:03.960,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,20,0,0,ce6a3068-d6cb-4d2b-b4e2-002eb69daedf
bf547494-183e-4f95-ad59-3086612d62c6,2020-04-24,100,2020-04-23 23:55:00.000,2,1500,2020-04-25 04:02:00.077,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,20,0,0,2f25dc0e-2100-4f45-b012-002eb8bf1f42
3c41b5e2-04d8-4b79-af08-bbe3f84ddebe,2021-02-03,100,2021-02-03 16:40:00.000,2,50,2021-02-03 09:28:48.980,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,29125,79,2,0,9cfd7c47-62df-4efb-a98c-002ebeba01d8
d59ef8aa-947c-47f1-974e-ad68f4029f0c,NULL,100,NULL,2,100,2021-06-09 13:01:28.807,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,57,1,0,851825d0-e87c-48c0-9204-002ec5aac58c
05ce9f85-e665-4729-b72b-3852a4620620,2020-05-31,100,2020-05-30 23:57:00.000,2,300,2020-06-01 08:02:33.810,7c475ebf-3e1e-40f2-863e-3ddde132645d,3984,57,1,0,9bfa205e-8109-49bb-bc25-002ec9c2ccca
