JobId,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,SLA,EstimatedRemainingRunningTimeInMins
6dc68a13-b85f-42ae-8e3e-d80ea29b8029,NULL,NULL,1,1,1000,10687,43.58155781,NULL,5
55502ead-95e5-4e4d-8886-902b8293af10,NULL,NULL,1,1,1000,10687,349.4977611,NULL,5
13e257ce-2e7f-4a5d-a08d-1d358f3ef5a8,NULL,NULL,1,1,1000,10687,23.42750937,NULL,5
d1b618a1-54ec-4c99-91ff-84ad9438d55d,NULL,NULL,1,1,1000,10687,120.536596,NULL,5
4bf53a9e-8398-48af-ace3-4e3afdafd7f1,NULL,NULL,1,1,1000,10687,9.488514342,NULL,5
f9888aef-721a-4a30-8f91-c6e2f0d32428,NULL,NULL,1,1,1000,10687,331.9219273,NULL,5
5354270a-1b89-49cd-818d-90a29d8f9096,NULL,NULL,1,1,1000,10687,1.377546022,NULL,5
6c29b4a0-093f-4bc6-8d7c-0c1412fc4e83,NULL,NULL,1,1,1000,10687,5.01554407,NULL,5
42037196-3948-48a3-8d32-0b001abee2b1,NULL,NULL,1,1,1000,10687,552.2507402,NULL,5
9806d7ab-3839-47a3-a2fd-9c18a62bb535,NULL,NULL,1,1,1000,10687,150.2745449,NULL,5
7eafc0f7-d5d3-4248-8da4-df9290e92530,NULL,NULL,1,1,1000,10687,137.6935117,NULL,5
91c75422-e0f0-4384-be49-d01160c8f878,NULL,NULL,1,1,1000,10687,229.5215334,NULL,5
c5fddd12-2591-43d2-a429-5a7e8d8e76c3,NULL,NULL,1,1,1000,10687,78.11444478,NULL,5
fbfb02f3-407d-4c63-95a4-0717eb6c95bf,NULL,NULL,1,1,1000,10687,51.40907111,NULL,5
6a785aeb-c042-468c-99d1-703dec762893,NULL,NULL,1,1,1000,10687,464.9978364,NULL,5
41a90886-6afe-4c4e-83c1-f06e20bf7cee,NULL,NULL,1,1,1000,10687,27.35363859,NULL,5
dab9b70f-dccb-4554-9a38-4710ddf1818d,NULL,NULL,1,1,1000,10687,26.86027775,NULL,5
fc992e2d-d563-4d55-8a54-2f183af38e50,NULL,NULL,1,1,1000,10687,171.378119,NULL,5
d54280e6-c08e-4448-b5a3-d4e336288847,NULL,NULL,1,1,1000,10687,131.8986596,NULL,5
ea95e3cc-05f2-4988-86c3-11804fa2be2a,NULL,NULL,1,1,1000,10687,596.4418869,NULL,5
853bc0f0-c65c-49c3-985d-c6a013ff756a,1,0,1,1,51,10687,15.41805485,NULL,360
313d0dbc-324a-42a8-a390-def841d78b10,NULL,NULL,1,1,350,2150,15.42671533,NULL,360
37fcd110-b6d6-47b1-bafa-a8c9f2f8fd76,NULL,NULL,1,1,300,29125,197.6365649,NULL,360
3682e33d-58a1-4e82-9b55-89a27443dc63,NULL,NULL,1,1,1200,7500,18.77088559,NULL,360
c31ba86e-c11c-4378-8fe4-5116d042c50e,NULL,NULL,1,1,259,29125,425.0626348,NULL,360
8b823b92-539d-4d8c-98ab-f987cbc20aed,NULL,NULL,1,1,400,2150,34.892068,NULL,360
892068a3-bd04-4f4a-986c-1e5b8916b363,NULL,NULL,1,1,100,29125,9.765402265,NULL,360
b46f0fd1-02be-4fb0-9c36-6056ed35a17c,NULL,NULL,1,1,259,29125,61.63265132,NULL,360
7f8fd67f-89e2-454a-98d6-c7231f3bd367,NULL,NULL,1,1,259,9714,33.5121356,NULL,360
43276d42-952e-4633-9e9f-0ac4a2a0a89d,NULL,NULL,1,1,400,2150,204.7911663,NULL,360
1e412a4d-f84b-4867-b85f-672189128c44,NULL,NULL,1,1,350,7500,10.89530358,NULL,360
83196029-b5cc-499c-a9f3-9aa94a0c5a39,NULL,NULL,1,1,200,29125,69.27887786,NULL,360
ad2dd91e-1778-42aa-81d8-1adecb5940c9,NULL,NULL,1,1,400,2150,197.4883392,NULL,360
44839591-2a94-4a33-94ab-7d67a148aa7e,NULL,NULL,1,1,400,2150,20.26943997,NULL,360
fb0309fc-f674-4be8-b2ae-153fee7e2fdc,1,0,1,1,7,10687,5.780466598,NULL,360
e5e2551c-4dcc-47cc-935d-7a5d6d92eeae,NULL,NULL,1,1,259,29125,78.22299416,NULL,360
e82d806b-85f4-4f7e-9049-7df20e303f4a,NULL,NULL,1,1,350,7500,21.80779907,NULL,360
54100278-739b-4a0a-a3b8-e00b0b3481bf,NULL,NULL,1,1,3000,29125,0.720859482,NULL,360
52e12f82-6ade-4e8b-b537-774476a872ea,NULL,NULL,1,1,234,2800,14.40094028,NULL,360
29e52ba2-9397-455c-93a6-31f1ceefad9e,NULL,NULL,1,1,259,9714,5.621887273,NULL,360
720e703b-f62e-4c69-9d31-d926b9140f21,NULL,NULL,1,1,400,2150,280.7500598,NULL,360
c058ada3-1be2-4b83-a52d-b07d25cf3bf4,1,0,1,1,17,10687,2.060117637,NULL,360
bb3309c1-c41f-4051-b8b9-2f1622949c89,NULL,NULL,1,1,259,29125,37.76563015,NULL,360
3537c883-d38b-4dbe-b9ee-e212e6a2e15a,NULL,NULL,1,1,1000,29125,26.72575106,NULL,360
4c65f47f-cd1a-4dbf-9e1d-165bde124aa3,NULL,NULL,1,1,824,29125,16.44298119,NULL,360
09842849-ff41-4e08-9128-a8a71913adc7,NULL,NULL,1,1,700,7500,1.829296188,NULL,360
e5ed8877-4f82-404e-adf1-0efc9ef4bc8f,NULL,NULL,1,1,234,2800,16.52345775,NULL,360
89ca12d0-db30-4a9c-bf3d-5fafb52069eb,NULL,NULL,1,1,200,29125,246.5429296,NULL,360
30766aee-396a-4431-8eef-ef5e6130c6fc,NULL,NULL,1,1,259,29125,50.387971,NULL,360
fd4d5fb8-f2cc-4092-bcca-08d15c7bf557,NULL,NULL,1,1,400,2150,106.0250838,NULL,360
4f84d8dc-370a-444a-ba87-cb5e00a70e73,NULL,NULL,1,1,350,7500,12.18112535,NULL,360
0cc475e1-217b-4755-a3e9-d0f1ec482b0c,NULL,NULL,1,1,259,29125,412.8176817,NULL,360
401db9bb-f4d3-4f9b-9e3c-14a9613110c6,NULL,NULL,1,1,400,2150,75.20776615,NULL,360
8c02d0ee-4fbe-4b1e-a31d-b862938f427d,NULL,NULL,1,1,259,29125,549.0729504,NULL,360
99a64219-1ffd-45c1-8d50-8fcfbd4709b0,1,0,1,1,7,10687,12.81612819,NULL,360
445923c1-474e-4ba3-a3eb-a4286212171a,NULL,NULL,1,1,500,10300,28.95836429,NULL,360
4c5b9b67-0b1f-4262-a89b-123243cb91c6,NULL,NULL,1,1,259,29125,182.5673003,NULL,360
e071236a-4a7c-4877-a445-779a6d375ac6,NULL,NULL,1,1,250,29125,7.91105667,NULL,360
964856ea-432a-4037-9b63-3fc64110f469,1,0,1,1,180,10687,2.22564019,NULL,360
1a535ccf-4ef6-4d66-bc2a-49c72c83d167,NULL,NULL,1,1,400,2150,3.6524394,NULL,360
9cc01143-136a-4803-b60d-3472d2dc8293,NULL,NULL,1,1,100,29125,17.60613756,NULL,360
cee4c5e2-38f9-4f94-828a-3b4959d7c39a,NULL,NULL,1,1,259,29125,7.929360395,NULL,360
ef866818-9356-4f5e-a9fe-59dc170bc169,NULL,NULL,1,1,1200,7500,0.688970238,NULL,360
cc672d7e-8da3-4214-85d4-071014961585,NULL,NULL,1,1,500,29125,70.19731906,NULL,360
feb48ce2-83e1-4400-989f-e5794b7e916b,NULL,NULL,1,1,8000,14572,1.000964945,00:00.0,360
4cecc2f4-7330-45f9-95c3-7efbfcea3460,NULL,NULL,1,1,234,2800,31.67524367,NULL,360
9ee83bfb-5fcc-47c0-8420-93dd3f6e5acd,1,0,1,1,90,10687,14.31551845,NULL,360
0f6ef049-1a65-430e-aae6-acea67cd243e,1,0,1,1,51,10687,20.27156404,NULL,360
58021fb1-1e6f-40c4-ac2c-7014365a4c16,NULL,NULL,1,1,259,29125,552.1540387,NULL,360
9537e6ff-c22e-4d3b-95b0-4f8769698955,NULL,NULL,1,1,259,29125,186.2354042,NULL,360
3c778609-824d-4c9a-a8cd-dd9202ddb780,1,0,1,1,259,0,1.170135492,00:00.0,360
9cbcd495-9a20-492f-982e-f13a66905d63,NULL,NULL,1,1,1200,7500,0.559897493,NULL,360
4e537eea-364f-4f15-b63c-6b6a6012e6dc,NULL,NULL,1,1,400,2150,201.3326566,NULL,360
c87c9fca-dcb5-4cfd-a8ca-ae1b0105b4d1,1,0,1,1,170,10687,2.984423982,NULL,360
498848d3-4b3d-4e89-95c4-c0f1620c4f47,NULL,NULL,1,1,50,29125,15.67080225,NULL,360
